Heading,PageNo,TEst	
1987 GRC Krugerrand 1 Oz,"test",45 
1987 GRC Krugerrand H Oz,"test",45 
1987 GRC Krugerrand Q Oz,"test",45 
1987 GRC Krugerrand Set,"test",46 
1987 GRC Krugerrand T Oz,"test",45 
1987 Krugerrand 1 Oz,"test",43 
1987 Krugerrand H Oz,"test",43 
1987 Krugerrand Prestige Set,"test",44 
1987 Krugerrand T Oz + Q Oz,"test",42 
1987 Protea Silver R1,"test",41 
1987 RSA Currency Proof Coin Set,"test",47 1988  48 
1988 Krugerrand Set,"test",59 
1988 GRC Krugerrand 1 Oz,"test",61 
1988 GRC Krugerrand 1 Oz GHST,"test",61 
1988 GRC Krugerrand H Oz,"test",60 
1988 GRC Krugerrand H Oz FB,"test",60 
1988 GRC Krugerrand H Oz GST,"test",61 
1988 GRC Krugerrand Q Oz,"test",60 
1988 GRC Krugerrand Set,"test",62 
1988 GRC Krugerrand T Oz,"test",60 
1988 Krugerrand 1 OZ,"test",58 
1988 Krugerrand H Oz,"test",58 
1988 Krugerrand T Oz + Q Oz,"test",58 
1988 Protea 1 Oz -  Dias,"test",56 
1988 Protea 1 Oz – Groot Trek,"test",56 
1988 Protea 1 Oz – Huguenots,"test",56 
1988 Protea Gold Set,"test",57 
1988 Protea Silver R1 –  Dias,"test",49 
1988 Protea Silver R1 –  Huguenots,"test",51 
1988 Protea Silver R1 – Groot Trek,"test",50 
1988 Protea Silver Set,"test",52 
1988 Protea T Oz Gold - Dias,"test",53 
1988 Protea T Oz Gold – Groot Trek,"test",54 
1988 Protea T Oz Gold – Huguenots,"test",55 
1988 RSA Currency Proof Coin Set,"test",63 1989  64 
1989 GRC 1 Oz,"test",68 
1989 GRC H Oz,"test",68 
1989 GRC Q Oz,"test",67 
1989 GRC Set,"test",68 
1989 GRC T Oz,"test",67 
1989 Krugerrand 1 Oz,"test",71 
1989 Krugerrand H Oz,"test",70 
1989 Krugerrand Prestige Set,"test",72 
1989 Krugerrand Proof Set,"test",73 
1989 Krugerrand T Oz + Q Oz,"test",69 
1989 Proof R2,"test",66 
1989 Protea Silver R1,"test",65 
1989 REP2 NKL 5c,"test",67 
1989 RSA Currency Proof Coin Set,"test",74 1990  75 
1990 GRC Krugerrand Q Oz,"test",82 
1990 GRC Krugerrand Set,"test",83 
1990 Krugerrand 1 Oz,"test",81 
1990 Krugerrand H Oz,"test",80 
1990 Krugerrand Prestige Set,"test",82 
1990 Krugerrand Q Oz,"test",79 
1990 Krugerrand T Oz,"test",78 
1990 Protea R1 PW Botha,"test",77 
1990 Protea Silver R1,"test",76 
1990 RSA Currency Proof Coin Set,"test",84 1991  85 
1991 GRC Krugerrand Set,"test",91 
1991 Krugerrand 1 Oz,"test",89 
1991 Krugerrand H Oz,"test",89 
1991 Krugerrand Prestige Set,"test",90 
1991 Krugerrand Q Oz,"test",88 
1991 Krugerrand T Oz,"test",88 
1991 Protea 1 Oz,"test",88 
1991 Protea Silver R1,"test",86 
1991 Protea T Oz,"test",87 
1991 RSA Currency Proof Coin Set,"test",92 1992  93 
1992 Krugerrand 1 Oz,"test",101 
1992 Krugerrand H Oz,"test",100 
1992 Krugerrand Prestige Set,"test",102 
1992 Krugerrand Q Oz,"test",99 
1992 Krugerrand T Oz,"test",98 
1992 Olympic Games Silver R2,"test",103 
1992 Protea 1 Oz,"test",97 
1992 Protea Silver R1,"test",94 
1992 Protea Silver R2,"test",95 
1992 Protea T Oz,"test",96 
1992 RSA Currency Proof Coin Set,"test",104 
1993  105 
1993 Krugerrand 1 Oz,"test",112 
1993 Krugerrand H Oz,"test",111 
1993 Krugerrand Prestige Set,"test",113 
1993 Krugerrand Q Oz,"test",110 
1993 Krugerrand T Oz,"test",110 
1993 Protea 1 Oz - Banking,"test",109 
1993 Protea GRC 1 Oz,"test",110 
1993 Protea Silver R1 - Banking,"test",106 
1993 Protea Silver R2 – Peace,"test",107 
1993 Protea T Oz - Banking,"test",108 
1993 RSA Currency Proof  Coin Set,"test",114 1994  115 
1994 Krugerrand 1 Oz,"test",130 
1994 Krugerrand H Oz,"test",130 
1994 Krugerrand Prestige Set,"test",132 
1994 Krugerrand Proof Set,"test",131 
1994 Krugerrand Q Oz,"test",129 
1994 Krugerrand T Oz,"test",128 
